Title,Manufacturer,Price,Link,Category,Image,Store
"GIGABYTE MB 13th and 12th Gen i9/i7/i5/i3/Pen/Cele, Z790 UD AX, LGA1700, 4 x DDR5", ,14.467 ден.,https://ddstore.mk/gigabyte-mb-13th-and-12th-gen-i9-i7-i5-i3-pen-cele-z790-ud-ax-lga1700-4-x-ddr5-intelr-wi-fi-6e-ax211-2-x-usb-2-0-1-x-hdmi-2-x-displayports-3-x-usb-3-2-gen-1-1-x-usb-type-c-1-x-rj-45-port-3-x-audio-jacks.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/997308_92_w.png,DDStore
"MBO 1700 AS PRIME B660M-K D4, Maticna ploca", ,6.265 ден.,https://ddstore.mk/mbo-1700-as-prime-b660m-k-d4-maticna-ploca.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/997491.jpg,DDStore
"MB 1700 Z790 PG LIGHTNING ASROCK DDR5, 4xDDR5 6800MHz(OC)", ,13.284 ден.,https://ddstore.mk/mb-1700-z790-pg-lightning-asrock-ddr5-4xddr5-6800mhz-oc-1xpciex16-5-0-1xpciex16-4-0-4xm-2-4xsataiii-hdmi-edp-2xusb-3-2gen2-10xusb-3-2gen1-2-5g.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/997781.jpg,DDStore
"ASUS PRIME H610M-A D4-CSM, Intel H610 (LGA 1700) mic-ATX motherboard with DDR4",ASUS,5.298 ден.,https://ddstore.mk/asus-prime-h610m-a-d4-csm-intel-h610-lga-1700-mic-atx-motherboard-with-ddr4-pcie-4-0-dual-m-2-slots-intel-1-gb-ethernet-displayp.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/999068.jpg,DDStore
Gigabyte A520M K V2 AM4 DDR4 5100MHz OC SATA3 M.2 HDMI Gbit LAN,Gigabyte,3.481 ден.,https://ddstore.mk/mb-gigabyte-a520m-k-v2-am4-ddr4-5100mhz-oc-sata3-m-2-hdmi-gbit-lan.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/999401_52_w.png,DDStore
"ASUS PRIME H510M-K R2.0 LGA 1200, DDR4",ASUS,3.955 ден.,https://ddstore.mk/prime-h510m-k-r2-0-lga-1200-intel-h470-ddr4-memory-slots-2-64-gb-supported-memory-2133-3200-mhz-pcie-3-0-x16-1-pcie-x1-1-sata3-4-8-kanalni-audio-d-subx1-hdmix1-rj45x1-m-2x1-usb-3-2x2.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/9/9/999821_35_w.jpg,DDStore
"GIGABYTE MB AMD AM4, B550, 2xDDR4, 1 x PCI Express x16, 1 x M.2, 4 x SATA 6Gb/s",AMD,11.774 ден.,https://ddstore.mk/gigabyte-mb-amd-am4-b550-2xddr4-1-x-pci-express-x16-1-x-m-2-4-x-sata-6gb-s-4-x-usb-3-2-gen-1-2-x-hdmi-1-x-displayport.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1000033_72_w.jpeg,DDStore
"MB AM5 X670-P PRIME WIFI ASUS 4xDDR5 6400Mhz(O.C),HDMI,DP, 3xPCIex16 4.0",ASUS,17.950 ден.,https://ddstore.mk/mb-am5-x670-p-prime-wifi-asus-4xddr5-6400mhz-o-c-hdmi-dp-3xpciex16-4-0-pciex1-3xm-2-6xsataiii-wifi-6-bt-5-2.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1000101-product_10888_0.png,DDStore
"ASUS PRIME B660M-A D4-CSM, Intel B660 (LGA 1700) mATX motherboard with PCIe 4.0, two M.2 slots",ASUS,7.180 ден.,https://ddstore.mk/asus-prime-b660m-a-d4-csm-intel-b660-lga-1700-matx-motherboard-with-pcie-4-0-two-m-2-slots-intel-1gb-ethernet-dp-2-x-hdmi-rear.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1000275.jpg,DDStore
MB Gigabyte A620M GAMING X AM5 DDR5 8000MHz OC SATA3 M.2 USB 3.2 Type-C GBit LAN PCIe 4.0 DP/HDMI,Gigabyte,7.680 ден.,https://ddstore.mk/mb-gigabyte-a620m-gaming-x-am5-ddr5-8000mhz-oc-sata3-m-2-usb-3-2-type-c-gbit-lan-pcie-4-0-dp-hdmi.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1001022_55_w.png,DDStore
"MB MSI PRO B650M-P AM5 DDR5 6000+MHz OC SATA3, 2X M.2, USB3.2,Type-C, 2.5Gbit LAN PCie 4.0 DP/HDMI",MSI,7.015 ден.,https://ddstore.mk/mb-msi-pro-b650m-p-am5-ddr5-6000-mhz-oc-sata3-2x-m-2-usb3-2-type-c-2-5gbit-lan-pcie-4-0-dp-hdmi.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1001024_61_w.jpg,DDStore
"ASUS PRIME A620M-K, AMD A620 micro-ATX AM5 motherboard",ASUS,5.698 ден.,https://ddstore.mk/asus-prime-a620m-k-amd-a620-micro-atx-am5-motherboard-ddr5-pcie-4-0-graphics-card-and-pcie-4-0-m-2-support-hdmi-vga-usb-3-2-gen-1.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1001057_84_w.jpg,DDStore
"ASUS PRIME B760M-A D4-CSM, Intel B760 (LGA 1700) mATX motherboard",ASUS,9.999 ден.,https://ddstore.mk/asus-prime-b760m-a-d4-csm-intel-b760-lga-1700-matx-motherboard-pcie-4-0-two-m-2-slots-realtek-2-5gb-ethernet-displayport-dual-h.html,Motherboard,https://ddstore.mk/media/catalog/product/cache/465695414e046942d7654eb8e28a498b/1/0/1001058_63_w.jpg,DDStore
