Title,Manufacturer,Price,Code,Warranty,Link,Category,Description,Image,Store
Asus TUF GAMING B650-E WIFI, ,9490, , ,https://gjirafa50.mk/pllake-ame-asus-tuf-gaming-b650-e-wifi,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/c90e1f60-a0c9-4180-a779-74af3f992800/c90e1f60-a0c9-4180-a779-74af3f992800.jpeg?w=190,Zhirafa50
ASRock A620M-HDV/M.2+,ASRock,6190, , ,https://gjirafa50.mk/pllake-ame-asrock-a620m-hdvm2-2,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/dd8c31db-0379-4636-87c0-ffc5d449927c/dd8c31db-0379-4636-87c0-ffc5d449927c.jpeg?w=190,Zhirafa50
ASUS PRIME H510M-R R2.0,ASUS,4390, , ,https://gjirafa50.mk/pllake-ame-asus-prime-h510m-r-r20,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/2aa03d64-2e66-44c4-862f-56b829730bda/2aa03d64-2e66-44c4-862f-56b829730bda.jpeg?w=190,Zhirafa50
Pllakë Amë Asus PRIME X299-A II, ,24990, , ,https://gjirafa50.mk/pllake-ame-asus-prime-x299-a-ii,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/42caaffb-ac08-48a0-84d4-ae7335e29c64/42caaffb-ac08-48a0-84d4-ae7335e29c64.jpeg?w=190,Zhirafa50
Asus PRIME A620M-E-CSM, ,6390, , ,https://gjirafa50.mk/pllake-ame-asus-prime-a620m-e-csm,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/35905794-bffb-412d-af32-af4c6188c4a9/35905794-bffb-412d-af32-af4c6188c4a9.jpeg?w=190,Zhirafa50
"Gigabyte H610M, DDR4, Intel H610, Socket 1700, 2 slota, Bluetooth, Wifi 5, Micro ATX",Gigabyte,8790, , ,https://gjirafa50.mk/pllake-ame-gigabyte-h610mddr4-intel-h610-socket-1700-2-slota-bluetooth-wifi-5-micro-atx,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/b183cefe-fafd-4559-9016-dfc28dc1e27e/b183cefe-fafd-4559-9016-dfc28dc1e27e.jpeg?w=190,Zhirafa50
ASRock B760M STEEL LEGEND WIFI,ASRock,9690, , ,https://gjirafa50.mk/pllake-ame-asrock-b760m-steel-legend-wifi,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/5d51b037-0284-4604-81f9-e919e6e4058a/5d51b037-0284-4604-81f9-e919e6e4058a.jpeg?w=190,Zhirafa50
MSI Z790 GAMING PLUS WIFI,MSI,13990, , ,https://gjirafa50.mk/pllake-ame-msi-z790-gaming-plus-wifi,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/a9c3e1de-baf5-41e0-a674-3d841821a320/a9c3e1de-baf5-41e0-a674-3d841821a320.jpeg?w=190,Zhirafa50
MSI PRO A620M-E,MSI,5090, , ,https://gjirafa50.mk/pllake-ame-msi-pro-a620m-e,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/b3f6f8b6-fdca-4a7c-93f5-6f8bcb628951/b3f6f8b6-fdca-4a7c-93f5-6f8bcb628951.jpeg?w=190,Zhirafa50
PCS Asus Tinker Board R2.0 2GB RAM (90ME03D1-M0EAY0), ,8990, , ,https://gjirafa50.mk/pllake-ame-pcs-asus-tinker-board-r20-2gb-ram-90me03d1-m0eay0,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/d5d4fcf3-d2ea-445b-a292-72d9e63e940b/d5d4fcf3-d2ea-445b-a292-72d9e63e940b.jpeg?w=190,Zhirafa50
Asus PRIME H610M-K ARGB, ,6790, , ,https://gjirafa50.mk/pllake-ame-asus-prime-h610m-k-argb,Motherboard, ,https://iqq6kf0xmf.gjirafa.net/images/5886a0fe-9706-4a1f-98e4-2ed8ac685b90/5886a0fe-9706-4a1f-98e4-2ed8ac685b90.jpeg?w=190,Zhirafa50
